index,smiles,label
DECOY2027,COC(=O)c1cn(CC(=O)Nc2nc(-c3ccc(OC)cc3)cs2)c2ccccc12,0
ORIDECOY167,Nc1nc(N)c2c(n1)NCCC(c1ccc(Cl)cc1)=N2,0
CHEMBL3985874,COc1ccc(-c2c(N)ncnc2N2CCC(c3nc(-c4ccc(F)c(C(F)(F)F)c4)cn3C)CC2)cc1,1
136163805,CC1=CC(=NO1)COCC2=CC=C(C=C2)C3=NN=C4N3C5=C(NC6=CC=CC=C64)N=CC=C5,1
DECOY655,CN=C(NCc1ccc(C(N)=O)o1)N1CCSC2(CCCCC2)C1,0
DECOY5053,CC(=O)Nc1ccc(S(=O)(=O)NC2C3(C)CCC(C3)C2(C)C)cc1,0
66668787,CNC(=O)C1=CC2=NC(=C(N2C=C1)C3=CC=CC=C3)C4=CC=C(C=C4)C5(CCC5)N,1
CHEMBL1632378,CC1OCc2ncnc(N3CCN(C(=O)C(N)Cc4ccc(Cl)cc4)CC3)c21,1
155519583,CN1C(=C(C=N1)Cl)C2=C(OC(=C2)C(=O)NC3CNC(CC3C4=CC(=C(C=C4)Cl)Cl)CC(=O)O)Cl,1
137189918,C1(=NON=C1N)C(=NO)N=C(N)N=C(N)N,1
DECOY1359,CN=C(NCc1ncc(-c2ccccc2)[nH]1)NC(C)Cc1c(C)nn(C)c1C,0
164628343,CN1C(=C(C=N1)Br)C2=CC(=C(C(=C2)Cl)C(=O)NC3CNCCC3C4=CC(=C(C=C4)F)F)F.Cl,1
DECOY3019,CSc1nc(C)c(CCC(=O)OCC(=O)Nc2ncc(Cl)c(C)c2Cl)c(C)n1,0
CHEMBL3947929,Nc1ncnc(N2CCC(c3nc(-c4ccc(F)c(C(F)(F)F)c4)cn3CCN3CCCCC3)CC2)c1-c1cccc(F)c1,1
89700308,CN(C(=O)C1=CC2=NC(=C(N2C=C1)C3=CC=CC=C3)C4=CC=C(C=C4)C5(CCC5)N)OC,1
89450302,CC(C)CNCCN1C=C(N=C1C2CCN(CC2)C3=NC=NC(=C3C(=O)N)N)C4=CC(=C(C=C4)F)C(F)(F)F,1
DECOY1848,CN=C(NCc1ncc(C)c(OC)c1C)Nc1ccc2c(c1)OCCCO2,0
DECOY950,CCOC(=O)Nc1cccc(C(=O)NCC(=O)Nc2c(C)nn(C)c2C)c1,0
CHEMBL3699755,COc1ccn2c(-c3ccccc3)c(-c3ccc(C4(N)CCC4)cc3)nc2c1C#N,1
CHEMBL591325,CN(C)CCOc1ccc2c(c1)CCn1nc(-c3ccc(Oc4ccccc4)cc3)c(C(N)=O)c1N2,1
DECOY764,CCC(Sc1nc2ccccc2[nH]1)C(=O)Nc1nnc(-c2ccc(Cl)cc2Cl)s1,0
CHEMBL3913487,NC(=O)c1c(N)ncnc1N1CCC(c2nc(-c3ccccc3)cn2CCN2CCC2)CC1,1
CHEMBL1257402,NCC(C(=O)N1CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,1
58458278,CC(C)NCC(C1=CC=C(C=C1)Cl)C(=O)N2CCN(CC2)C3=NC=NC4=C3C(CC4)C=C,1
CHEMBL226332,NC(COc1cncc(-c2cc3c(Cl)n[nH]c3cn2)c1)Cc1ccccc1,1
DECOY1297,CCNc1cc(Nc2ccccc2I)nc(COC)n1,0
DECOY1363,CC.CC(C)(C)NS(=O)(=O)c1cc(N)ccc1-c1cnc(C2CCCCC2)s1.CC(C)OC(N)=O,0
DECOY1891,O=C(NN=C1CC(=O)c2ccccc21)c1cccc(S(=O)(=O)Nc2cc(Cl)ccc2Cl)c1,0
66555647,C1CC1C2(CC(C2)(C3=CC=C(C=C3)C4=C(N5COC6=C(C5=N4)N=CC=C6)C7=CC=CC=C7)N)O,1
CHEMBL454210,CC1CN(c2ncc3cc(-c4ccccc4)c(-c4ccc(CN5CCC(c6nnc(-c7ccccn7)[nH]6)CC5)cc4)nc3n2)C(C)CN1,1
46869144,CC1=NC(=CC=C1)C2=NNC(=N2)C3CN(C3)CC4=CC=C(C=C4)C5=NC6=NC(=NN6C(=C5C7=CC=CC=C7)C)C,1
77162327,C1COCCN1C2CC(=O)NC(N2)CC(=O)N3CCOC4=CC=CC=C43,1
155567578,CN1C=C(C=C1C(=O)NC2CNCCC2C3=CC=C(C=C3)Cl)C4=C(C=NN4C)Br,1
CHEMBL3672065,Cc1cccc(-c2nc(C3CCN(Cc4ccc(-c5nc6nccn6cc5-c5ccccc5F)cc4)CC3)n[nH]2)n1,1
CHEMBL2016887,Cc1c(NCCN2CCCC2)cc(C(=O)Nc2ccccc2)cc1N1CCN(c2ncnc3[nH]nc(Br)c23)CC1,1
ORIDECOY123,CC1=C(C#N)c2nc(N)c(C#N)c(C)c2C1=Cc1ccc(-c2ccc(C(=O)O)cc2)o1,0
DECOY2382,O=C(NN=Cc1cc(Br)cc(I)c1O)C1COc2cc3ccccc3cc2O1,0
DECOY524,CCc1nn2c(C=NN=C3SC(CC)C(=O)N3c3ccc(O)cc3)c(-c3ccccc3)nc2s1,0
145957936,CCOC(=O)C1=C(N=C(N=C1C2=CC=C(C=C2)C)NNC(=O)C3=CC=CC4=C3NC5=CC=CC=C5C4=O)C,1
117704720,CC(C)C1=NC=CC(=C1)C2=CN(C(=N2)C3CCN(CC3)C4=NC=NC(=C4C#N)N)CCN5CCC5,1
11996315,CC1=CNC2=C1C(=NC=N2)N3CC4(CCNCC4)C5=CC=CC=C53,1
70817874,CCOC1=CC(=NN2C1=NC(=C2C3=CC=CC=C3)C4=CC=C(C=C4)C5(CCC5)N)C(=O)OC,1
ORIDECOY241,CCC(C)c1nc(-c2ccccc2)c(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)[nH]c1=O,0
CHEMBL3113144,CC(C)CNC(c1ccc(Cl)cc1)c1ccc(-c2cn[nH]c2)cc1,1
CHEMBL1823661,O=C(NC(c1ccc(Cl)c(Cl)c1)C1CCN(Cc2ccccc2)CC1)c1ccc2cnccc2c1,1
DECOY3406,O=[N+]([O-])c1cc(Br)ccc1N1CCCC(CO)C1,0
